blockname,event_id_ttl,event_id_char,event_ts,event_number
2022_06_10_abb12,PC0,lick,578.8363981,406
2022_06_10_abb12,PC0,lick,588.995625,407
2022_06_10_abb12,PC0,lick,589.2390912,408
2022_06_10_abb12,PC0,lick,589.4209536,409
2022_06_10_abb12,PC0,lick,589.5210598,410
2022_06_10_abb12,PC0,lick,589.6794931,411
2022_06_10_abb12,PC0,lick,589.8225254,412
2022_06_10_abb12,PC0,lick,589.9889869,413
2022_06_10_abb12,PC0,lick,590.1044941,414
2022_06_10_abb12,PC0,lick,590.2475264,415
2022_06_10_abb12,PC0,lick,590.3672934,416
2022_06_10_abb12,PC0,lick,590.5409638,417
2022_06_10_abb12,PC0,lick,590.6803917,418
2022_06_10_abb12,PC0,lick,590.8191642,419
2022_06_10_abb12,PC0,lick,590.9697331,420
2022_06_10_abb12,PC0,lick,591.1322624,421
2022_06_10_abb12,PC0,lick,591.2980685,422
2022_06_10_abb12,PC0,lick,591.4370048,423
2022_06_10_abb12,PC0,lick,591.6150989,424
2022_06_10_abb12,PC0,lick,591.7270016,425
2022_06_10_abb12,PC0,lick,601.6907674,426
2022_06_10_abb12,PC0,lick,601.8144666,427
2022_06_10_abb12,PC0,lick,601.9688038,428
2022_06_10_abb12,PC0,lick,602.1041357,429
